YEAR,CAR_AGE,MILEAGE,CAR_PRICE,WEBSITE
2021,3,61314,16722,CAR_GURU
2012,12,115733,9998,CAR_GURU
2015,9,64181,14992,CAR_GURU
2022,0,13155,21981,CAR_GURU
2016,8,62261,14488,CAR_GURU
2009,15,210000,5999,CAR_GURU
2019,5,32965,16999,CAR_GURU
2013,11,69257,11499,CAR_GURU
2010,14,155907,5999,CAR_GURU
2017,7,578000,15995,CAR_GURU
2020,4,46148,19981,CAR_GURU
2018,6,84000,13990,CAR_GURU
2009,15,144111,6994,CAR_GURU
2005,19,135011,5950,CAR_GURU
2008,16,99700,7999,CAR_GURU
2006,18,128885,6999,CAR_GURU
2013,11,100931,11395,CAR_GURU
2018,6,39554,16925,CAR_GURU
2016,8,100000,13950,CAR_GURU
