Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/20,Sunday,Tiktok,167 minutes,Entertainment
8/20/2023,Sunday,Instagram,130 minutes,Social Media
8/20/2023,Sunday,messages,31 messages,Other
8/20,Sunday,snapchat,25 minutes,Social Media
8/20,Sunday,spotify,15 minutes,Entertainment
8/21,Monday,INSTAGRAM,48 minutes,Social Media
8/21,Monday,TIKTOK,45 minutes,Entertainment
8/21,Monday,MESSAGES,24 minutes,Other
8/21,Monday,SPOTIFY,10 minutes,Entertainment
8/21,Monday,SNAPCHAT,12 minutes,Social Media
8/22,Tuesday,TIKTOK,78 minute,Entertainment
8/22,Tuesday,INSTAGRAM,67 minutes,Social Media
8/22,Tuesday,MESSAGES,43 minutes,Other
8/22,Tuesday,SPOTIFY,3 minutes,Entertainment
8/22,Tuesday,SNAPCHAT,15 minutes,Social Media
8/23,Wednesday,TIKTOK,91 minutes,Entertainment
8/23,Wednesday,INSTAGRAM,34 minutes,Social Media
8/23,Wednesday,MESSAGES,23 minutes,Other
8/23,Wednesday,SPOTIFY,25 minutes,Entertainment
8/23,Wednesday,SNAPCHAT,6 minutes,Social Media
8/24,Thursday,TIKTOK,149 minutes,Entertainment
8/24,Thursday,INSTAGRAM,61 minutes,Social Media
8/24,Thursday,MESSAGES,74 minutes,Other
8/24,Thursday,SPOTIFY,12 minutes,Entertainment
8/24,Thursday,SNAPCHAT,11 minutes,Social Media
8/25,Friday,TIKTOK,47 minutes,Entertainment
8/25,Friday,INSTAGRAM,102 minutes,Social Media
8/25,Friday,MESSAGES,29 minutes,Other
8/25,Friday,SPOTIFY,30 minutes,Entertainment
8/25,Friday,SNAPCHAT,10 minutes,Social Media
8/26,Saturday,TIKTOK,154 minutes,Entertainment
8/26,Saturday,INSTAGRAM,58 minutes,Social Media
8/26,Saturday,MESSAGES,17 minutes,Other
8/26,Saturday,SPOTIFY,16 minutes,Entertainment
8/26,Saturday,SNAPCHAT,19 minutes,Social Media
